Sr No,Store Name,Store Category,Email,Store Website,Page Id,Page Link,Subscribers
37,Daiserz89,Health/Beauty,[daisy@yourperfectbeauty.com],http://Daisyjing.com,278820002138290,https://www.facebook.com/banishacnescars/,3902
38,Brydge Keyboards,Electronics,[support@brydgekeyboards.com],http://www.brydgekeyboards.com,545046682230650,https://www.facebook.com/brydgekeyboards/,60259
39,Solid and Striped,Clothing (Brand),,"http://www.solidandstriped.com, http://www.twitter.com/solidandstriped, http://instagram.com/solidandstriped, http://www.pinterest.com/solidandstriped/, ",312523052155747,https://www.facebook.com/SolidandStriped/,12919
40,Eye Candy Wear,Jewelry/Watches,[eyecandyclayart@gmail.com],https://instagram.com/eyecandywear_clayart/,897812290273615,https://www.facebook.com/EyeCandyWear/,206
41,WORNSTAR CLOTHING,Clothing Store,[wornstar@wornstar.com],http://www.WORNSTAR.com,119880545167,https://www.facebook.com/wornstar/,1273525
42,Supermarché P.A.,Butcher Shop,,www.supermarchepa.com,230031937012049,https://www.facebook.com/supermarchepa/,2275
43,Iron Fist Clothing,Clothing (Brand),,http://www.ironfistclothing.com/,194864060529406,https://www.facebook.com/ironfistclothing/,245224
44,Rancho Gordo,Shopping & Retail,[customerservice@ranchogordo.com],http://www.ranchogordo.com,25415388605,https://www.facebook.com/ranchogordo/,11195
45,Raging Heroes,Games/Toys,,www.ragingheroes.com (english) www.ragingheroes.fr (français) www.ragingheroes.es (espana),193287231167,https://www.facebook.com/RagingHeroes/,25992
46,Addicted To Audio,Electronics,[info@addictedtoaudio.com.au],http://www.addictedtoaudio.com.au,175806285823817,https://www.facebook.com/AddictedtoAudio/,13341
47,Alien Outfitters,Company,[contact@alienoutfitters.com],http://www.alienoutfitters.com,202769236495714,https://www.facebook.com/AlienOutfitters/,344641
48,Satin-Lined Caps,Clothing (Brand),,http://www.graceeleyae.com,1472241433034742,https://www.facebook.com/satinlinedcaps/,109065
49,Cover FX,Cosmetics Store,[customerservice@coverfx.com],www.coverfx.com www.twitter.com/coverfx www.youtube.com/coverfx www.pinterest.com/coverfx www.instagram.com/coverfx,252167391170,https://www.facebook.com/CoverFX/,73571
50,Marine Layer,Clothing Store,[help@marinelayer.com],http://www.marinelayer.com,66222681822,https://www.facebook.com/marinelayer/,19159
51,Julian Edelman,Athlete,,http://www.julianedelman.com,128950643812629,https://www.facebook.com/JulianEdelman/,1093228
52,Seinfeld Set Replica,Games/Toys,,https://seinfeldsetreplica.com/,1838962839703469,https://www.facebook.com/SeinfeldSetReplica/,2064
53,Roseshire,Product/Service,,http://www.Roseshire.com,631784446902323,https://www.facebook.com/roseshire/,84591
54,Wintercroft Masks,Product/Service,[info@wintercroft.com],http://wintercroft.com/pages/create,226891230842363,https://www.facebook.com/wintercroft/,61960
55,Tranquilo Mat,Baby Goods/Kids Goods,,http://www.tranquilomat.com,305298506345943,https://www.facebook.com/TranquiloMat/,54557
56,Daylight Curfew,Clothing (Brand),[info@daylightcurfew.com],http://www.daylightcurfew.com,155918381120646,https://www.facebook.com/daylightcurfew/,11573
57,Tate + Yoko,Clothing Store,[info@tateandyoko.com],www.tateandyoko.com,266246923408629,https://www.facebook.com/tateandyoko/,8392
58,LITTER,Jewelry/Watches,,http://littersf.com/ http://littersf.com/blogs/blog http://twitter.com/#!/littersf http://littersf.tumblr.com/ http://pinterest.com/littersf.com,59318209328,https://www.facebook.com/littersf/,9621
59,"Mountainside Medical Equipment, Inc",Medical Supply Store,[sales@mountainside-medical.com],http://www.mountainside-medical.com,115882315125176,https://www.facebook.com/mountainsidemedical/,1612
60,Ripstop by the Roll,Outdoor Equipment Store,[info@ripstopbytheroll.com],http://www.ripstopbytheroll.com,373446706157928,https://www.facebook.com/ripstopbytheroll/,3564
61,EasySkinz,Website,[hello@easyskinz.com],https://easyskinz.com,285431484954632,https://www.facebook.com/easyskinz/,362441
62,Naked Shelfies,Education,,,435344923173859,https://www.facebook.com/shelfies/,85
63,It's the journey that Counts - No limit However 2x 5000 is enough,Community,,http://www.benchislett.de/ http://www.lichtspass.de/home.html,566361870088700,https://www.facebook.com/benandfrank/,14
64,Alpine Labs,Camera/Photo,[info@alpinelaboratories.com],https://goo.gl/jWDDit,1393635527516847,https://www.facebook.com/AlpineLaboratories/,8115
65,Citi Trends,Clothing Company,[info@cititrends.com],http://cititrends.com,117073051696546,https://www.facebook.com/cititrends/,589359
66,Swing Design,Website,[retailorders@swingdesign.com],http://www.swingdesign.com,82686041124,https://www.facebook.com/SwingDesign/,117437
67,Mega Tiny Corporation,Retail Company,[hello@megatinycorp.com],https://megatinycorp.com,683516401762248,https://www.facebook.com/megatinycorp/,10741
68,Catholic Online,Religious Organization,[customerservice@catholiconline.email],http://catholic.org,495074195267,https://www.facebook.com/catholiconline/,3092409
69,Pete's Paleo,Grocery Store,[info@petespaleo.com],https://www.petespaleo.com/,297258133656088,https://www.facebook.com/PetesPaleo/,29980
70,Waxwork Records,Record Label,,http://www.waxworkrecords.com,1914727888666449,https://www.facebook.com/waxworkrecords/,25243
71,Back to the Roots,Company,[contact@backtotheroots.com],http://www.backtotheroots.com/,113668652574,https://www.facebook.com/backtotheroots/,66783
72,FluidStance,Product/Service,,https://fluidstance.com,1552354231675597,https://www.facebook.com/FluidStance/,5951
73,ASMDSS Gear,Clothing (Brand),,https://www.asmdssgear.com,201419873524398,https://www.facebook.com/ASMDSSGear/,14047
74,Sengled,Electronics,[mjohnson@sengled.com],https://sengled.com/,223015534568991,https://www.facebook.com/Sengled/,13759
75,Primitive Skateboarding,Product/Service,,http://www.primitiveskate.com,131629207007492,https://www.facebook.com/primitiveskate/,388465
76,InspiringWave,Website,,http://InspiringWave.com,211476599188796,https://www.facebook.com/InspiringWave/,19985
77,Case Of Mine,Retail Company,,http://caseofmine.com/,709651055758810,https://www.facebook.com/CaseOfMine/,510496
78,Zyppah | Anti-Snoring Oral Appliance,Product/Service,,http://bit.ly/Zyppah-Buy-Now,156686571108870,https://www.facebook.com/zyppah/,7317
79,Liquid Barn,Wholesale & Supply Store,[ash@liquidbarn.com],http://www.liquidbarn.com,1420622398184711,https://www.facebook.com/liquidbarn/,2880
80,Jazzbacks Downloadable Backing Tracks,Product/Service,,www.jazzbacks.com,152120238139003,https://www.facebook.com/Jazzbacks/,1397
81,Leadership IQ,Business Consultant,[info@leadershipiq.com],http://www.leadershipiq.com/,179925448694848,https://www.facebook.com/LeadershipIQ/,3550
82,Open Gaming Store,Retail Company,,http://www.opengamingstore.com/,467510623443993,https://www.facebook.com/opengamingstore/,2468
83,FLATSEVEN Mens Designer Clothes,Clothing (Brand),,https://www.flatseven.net,250553841654115,https://www.facebook.com/FLATSEVEN/,188771
84,Universal Store,Clothing (Brand),[help@universalstore.com.au],http://www.universalstore.com,331838857128,https://www.facebook.com/universalstore/,66630
85,Naelofar kelantan,Clothing (Brand),,,1516176871985193,https://www.facebook.com/Naelofarhijab/,1094
86,FiXT,Record Label,,http://www.fixtonline.com,17658674894,https://www.facebook.com/fixtmusic/,24177
87,Quad Lock,Outdoor & Sporting Goods Company,,www.quadlockcase.com,182014448548677,https://www.facebook.com/quadlockcase/,242293
88,Winky Lux,Health/Beauty,[info@winkylux.com],http://www.winkylux.com,830621223701279,https://www.facebook.com/winkylux/,13682
89,Bedrocan,Medical Company,[info@bedrocan.com],http://www.bedrocan.com,150015421726681,https://www.facebook.com/Bedrocan/,4265
90,Mobicity,Computer Company,[contato@mobi-city.net],http://www.mobicity.com.br,1652000078372315,https://www.facebook.com/Mobicity/,999
91,TrustBasket.com,Local Business,,http://trustbasket.com/,374417172721841,https://www.facebook.com/TrustBasket/,134665
92,Sole Steals,Retail Company,[support@solesteals.com],http://www.solesteals.com,1525742144405784,https://www.facebook.com/solesteals/,3201
93,Roots Of Fight,Clothing (Brand),,www.rootsoffight.com,166099340144041,https://www.facebook.com/RootsOfFight/,85283
94,Fully FILMY!,Website,,http://blogs.friedeye.com/fullyfilmy/,132852610086399,https://www.facebook.com/fullyFILMY/,610
95,Global Girlfriend,Company,,www.GlobalGirlfriend.com,182547125315,https://www.facebook.com/GlobalGirlfriend/,15211
96,Boutine L.A.,Clothing (Brand),[info@boutinela.com],http://www.boutinela.com,431700423564195,https://www.facebook.com/BoutineLa/,32632
97,Dicks By Mail,Candy Store,,https://web.facebook.com/DicksByMail,312931155707655,https://www.facebook.com/DicksByMail/,264
98,iOgrapher,Phone/Tablet,,http://iographer.com,381141015305778,https://www.facebook.com/Iographer/,34549
99,Rowdy Gentleman,Clothing (Brand),[contact@grandex.co],http://RowdyGentleman.com,224328274304479,https://www.facebook.com/RowdyGentleman/,87611
100,Supple Squid,Website,,http://supplesquid.com,1646019055636786,https://www.facebook.com/SuppleSquid/,1539
101,Nectar Sunglasses,Company,[info@nectarsunglasses.com],http://www.nectarsunglasses.com,232754130116441,https://www.facebook.com/nectarsunglasses/,127548
102,HeyCarson Shopify Experts,Business Service,[hello@heycarson.com],http://www.heycarson.com,1559363147670492,https://www.facebook.com/heycarson/,1685
103,Lolly Wolly Doodle,Clothing (Brand),,www.lollywollydoodle.com,236265058448,https://www.facebook.com/LollyWollyDoodle/,1529263
104,Gooseberry Intimates,Clothing (Brand),[info@gooseberryintimates.com],http://www.gooseberryintimates.com,268892246537012,https://www.facebook.com/gooseberryintimates/,144966
105,Geared,Outdoor & Sporting Goods Company,,,838120586252449,https://www.facebook.com/Gearedin/,952
106,"""WE ARE UNDERGROUND""",Musician/Band,,,128467140561763,https://www.facebook.com/wEarEundergrounD/,179
107,Iptv Online,TV Channel,[iptvonlinepro@gmail.com],http://iptv.starbr.in/cadtest.php?r=V2tSS1YyTXlTa2hpU0ZaaFRURktNbGx0TVZKUVVUMDk=,945647958835057,https://www.facebook.com/iptvonline/,399
108,Ultimate Eleven,School Sports Team,,,117381341646718,https://www.facebook.com/unknwn/,422
109,บุหรี่ไฟฟ้า น้ำยาบุหรี่ไฟฟ้า - Thai Vape Shop,Wholesale & Supply Store,[support@thaivapeshop.com],http://www.Thaivapeshop.com,248422705491406,https://www.facebook.com/Thaivapeshop/,30026
110,Saved by the Dress,Clothing (Brand),,http://www.savedbythedress.com,422502264514718,https://www.facebook.com/SavedByTheDress/,1582853
111,Schutz,Clothing (Brand),[onlinestore@schutz-shoes.com],http://www.schutz-shoes.com,260186584103284,https://www.facebook.com/SchutzShoes/,1982657
112,SHOPPIIN,Website,[customercare@shoppiin.com],http://www.shoppiin.com,512726815430726,https://www.facebook.com/SHOPPIIN/,13371
113,Snow Peak,Outdoor Equipment Store,[info@snowpeak.com],http://www.snowpeak.com/,113269399807,https://www.facebook.com/snowpeak/,26203
114,Vapeando ando,Health/Beauty,,,567756023431308,https://www.facebook.com/vapeandoando/,99
115,Hem,Furniture Store,[support@hem.com],http://hem.com/,1423519784589503,https://www.facebook.com/Hem/,61839
116,Drunk Elephant Comics,Website,,http://www.drunkelephantcomics.com/,34689197791,https://www.facebook.com/drunkelephant/,75
117,Barbell Apparel,Clothing (Brand),,http://www.barbellapparel.com,1449316038636005,https://www.facebook.com/barbellapparel/,162605
118,Clothing Arts,Clothing (Brand),,clothingarts.com,74175497048,https://www.facebook.com/ClothingArts/,7658
119,CW Pencil Enterprise,Office Supplies,[info@cwpencils.com],http://cwpencils.com,1517412145193729,https://www.facebook.com/cwpencils/,11612
120,The Gold Gods,Jewelry/Watches,,http://www.thegoldgods.com,449585941819266,https://www.facebook.com/thegoldgods/,81408
121,Stand Up Desk You Build,Health/Beauty,,,142855325815588,https://www.facebook.com/StandDesk/,34
122,W&P Design,Retail Company,[info@wandpdesign.com],www.wandpdesign.com,308146469259885,https://www.facebook.com/wandpdesign/,9125
123,Me First Living,Health/Beauty,[support@mefirstliving.com],http://www.mefirstliving.com,523972197654663,https://www.facebook.com/MeFirstLiving/,53745
124,atisundar,Clothing (Brand),,http://www.atisundar.com,348895641870466,https://www.facebook.com/atisundar/,485878
125,Stuff Nice,Website,,www.stuffnice.com,669727429875325,https://www.facebook.com/StuffNice/,172727
126,FRIGHT-RAGS,Company,[service@fright-rags.com],http://www.fright-rags.com,106670601199,https://www.facebook.com/frightrags/,91031
127,Tolerated Cinematics,Blogger,,https://www.toleratedcinematics.com/,171207936235442,https://www.facebook.com/ToleratedCinematics/,8925
128,Walletwerks,Clothing (Brand),,http://cdn.shopify.com/s/files/1/0172/7734/t/1/assets/carousel-item-1.jpg?1150,464053683636415,https://www.facebook.com/Walletwerks/,295
129,Haggard Racing,Sports Team,[losad34@hotmail.com],www.hookit.com/joegibas,418448414904687,https://www.facebook.com/HaggardRacing/,191
130,Sweets Kendamas,Games/Toys,[cs@sweetskendamas.com],www.sweetskendamas.com,124505677602077,https://www.facebook.com/sweetskendamas/,37350
131,Booq | Taiwan 粉絲團,Shopping & Retail,,http://www.booqbags.com/,118844881471887,https://www.facebook.com/Booqbags/,849
132,SeaVees,Clothing (Brand),[cs@seavees.com],http://www.seavees.com,55463301409,https://www.facebook.com/SeaVees/,15593
133,Zen Like Products,Product/Service,,http://www.ZenLikeProducts.com,564165553735716,https://www.facebook.com/zenlikeproducts/,463271
134,Woodgeekstore,Website,[hello@woodgeekstore.com],https://www.woodgeekstore.com/,565181610275665,https://www.facebook.com/woodgeekstore/,44640
135,Seek For Chic,Jewelry/Watches,[support@seekforchic.com],http://seekforchic.com,273382836353401,https://www.facebook.com/seekforchic/,54368
136,Easy to Grow Bulbs,Garden Center,[service@easytogrowbulbs.com],http://www.easytogrowbulbs.com/default.aspx,107077269321236,https://www.facebook.com/easytogrowbulbs/,47417
137,Inner Fire,Clothing (Brand),,www.myinnerfire.com,236585009766239,https://www.facebook.com/myinnerfire/,10123
138,Ztylus,Camera/Photo,[info@ztylus.com],http://ztylus.com,596863307045804,https://www.facebook.com/Ztylus/,16837
139,Clad&Cloth,Clothing (Brand),[info@cladandcloth.com],http://cladandcloth.com,170689323135182,https://www.facebook.com/cladandcloth/,4314
140,Conscious Ink,Product/Service,[questions@consciousink.com],http://consciousink.com,176056979118219,https://www.facebook.com/ConsciousInk/,55624
141,Stayblcam,Retail Company,[contact@stayblcam.com],http://www.stayblcam.com,612908612113725,https://www.facebook.com/stayblcam/,7985
142,Florence Scovel Jewelry,Jewelry/Watches,[info@florencescovel.com],http://www.florencescovel.com,825052627521152,https://www.facebook.com/FlorenceScovelJewelry/,991975
143,Power Practical,Electronics,,https://powerpractical.com,147813221981556,https://www.facebook.com/PowerPractical/,20514
144,TOSSIJN,Clothing (Brand),[shop@tossijn.com],https://tossijn.com,445486895827349,https://www.facebook.com/tossijn/,466
145,Totebagfactory,Shopping & Retail,[support@totebagfactory.com],https://totebagfactory.com,884403441586811,https://www.facebook.com/Totebagfactory/,49755
146,Japan Code Supply,Gift Shop,[service@japancodesupply.com],http://japancodesupply.com,179743008872699,https://www.facebook.com/japancodesupply/,18079
147,Follain,Cosmetics Store,[info@follain.com],follain.com,164478280389751,https://www.facebook.com/shopfollain/,10174
148,The CBDistillery,Pharmacy / Drugstore,,http://www.theCBDistillery.com,215223832236823,https://www.facebook.com/theCBDistillery/,5086
149,Profound Aesthetic,Clothing (Brand),[info@profoundco.com],www.profoundco.com,35514697291,https://www.facebook.com/profoundco/,24800
150,Bento&co,Kitchen/Cooking,[contact@bentoandco.com],http://www.bentoandco.com http://en.bentoandco.com,123586087693532,https://www.facebook.com/bentoandco/,84677
151,Totemo Kawaii Shop,Clothing (Brand),,http://www.totemokawaiishop.com,487323718139444,https://www.facebook.com/TotemoKawaiiShop/,28674
152,Caudabe,Electronics,,http://www.caudabe.com,433454783373601,https://www.facebook.com/Caudabe/,29753
153,Mile High Themes,Computer Company,[info@milehighthemes.com],http://www.milehighthemes.com,364257880446490,https://www.facebook.com/milehighthemes/,293
154,INFANTINO Abiti Su misura,Clothing Store,[info@infantino.biz],http://www.sartoriainfantino.it,159107407441016,https://www.facebook.com/infantino/,2062
155,Hat Club,Hat Store,[customerservice@hatclub.com],http://www.HatClub.com,61361310766,https://www.facebook.com/hatclub/,106880
156,Siwy Denim,Clothing (Brand),[hello@siwydenim.com],http://www.siwydenim.com/,106882989344481,https://www.facebook.com/siwydenim/,83221
157,Happy Trunk Apparel,Website,,http://www.happytrunkapparel.com,872390186164164,https://www.facebook.com/happytrunkapparel/,494781
158,Build Your Own Clone,Electronics,,http://buildyourownclone.com,173859072824508,https://www.facebook.com/buildyourownclone/,11619
159,The Survivalist Depot,Website,,http://www.thesurvivalistdepot.com,241223822891453,https://www.facebook.com/TheSurvivalistDepot/,58800
160,Naja,Clothing (Brand),[support@naja.co],http://www.naja.co,1407083856174885,https://www.facebook.com/naja/,131978
161,Heathens' Hoard,Website,,http://heathenshoard.com,779706478795041,https://www.facebook.com/heathenshoard/,93909
162,ซัมไทม์,Local Business,,,703282379688087,https://www.facebook.com/Sometime/,275
163,Just Tangy,Jewelry/Watches,,http://www.JustTangy.com,346489588804467,https://www.facebook.com/JustTangy/,2099
164,Lookbook Store,Women's Clothing Store,[facebook@lookbookstore.com],https://www.lookbookstore.co,328757027219838,https://www.facebook.com/lookbookstore/,144627
165,Vianel Studios,Product/Service,[info@vianelnewyork.com],http://vianelnewyork.com,149168411936612,https://www.facebook.com/vianelnewyork/,2619
166,Startup Drugz,Clothing (Brand),,http://startupdrugz.com/,1645202799045204,https://www.facebook.com/startupdrugz/,19570
167,Laconicum.com,"Beauty, Cosmetic & Personal Care",[hola@laconicum.com],laconicum.com,245435912136049,https://www.facebook.com/laconicum/,30573
168,Subli Blanks Limited - UK Dye Sublimation supplies,Printing Service,[enquiries@subliblanks.com],http://www.subliblanks.com,165474876966102,https://www.facebook.com/SubliBlanks/,1562
169,FringeSport,Sporting Goods Store,[team@fringesport.com],www.fringesport.com,127637140620521,https://www.facebook.com/FringeSport/,17904
170,rms beauty,Makeup Artist,[customerservice@rmsbeauty.com],www.rmsbeauty.com,387099954520,https://www.facebook.com/rmsbeauty/,24661
171,ANINE BING,Clothing (Brand),[info@aninebing.com],http://aninebing.com,666785700084540,https://www.facebook.com/ANINEBING/,33429
172,Envision,Advertising Agency,[info@envision.dk],www.envision.dk www.envisionblog.dk www.twitter.com/envision_dk,170016683019181,https://www.facebook.com/envision/,1510
173,Virtual-Studio-Set.com,Broadcasting & Media Production Company,[info@virtual-studio-set.com],http://www.virtual-studio-set.com,172701211078,https://www.facebook.com/virtual.studio.set/,8021
174,Meze Audio,Product/Service,,http://www.mezeaudio.com,626478514055459,https://www.facebook.com/mezeaudio/,9304
175,GRAY,Product/Service,[contact@gray-international.com],http://www.gray-international.com,916981725042436,https://www.facebook.com/grayinternational/,22705
176,Baseballism,Clothing (Brand),[believe@baseballism.com],http://www.baseballism.com,266462573370498,https://www.facebook.com/baseballism/,794276
177,Lifestyle by PS,Clothing (Brand),[info@lifestylebyps.com],www.lifestylebyps.com,179897122093803,https://www.facebook.com/LifestylebyPS/,11073
178,Mieux que des fleurs,Gift Shop,[bonjour@mieuxquedesfleurs.com],http://www.mieuxquedesfleurs.com/,334388230082098,https://www.facebook.com/mieuxquedesfleurs/,7362
179,Military Supply USA,Product/Service,,http://militarysupplyusa.com,957403294307562,https://www.facebook.com/MilitarySupplyUSA/,5004
180,Patricia Field,Public Figure,,http://www.patriciafield.com,566918830108632,https://www.facebook.com/patriciafield/,14577
181,Tenslife,Community Organization,,,122259381795351,https://www.facebook.com/Tenslife/,14
182,FORMUFIT,Building Materials,,http://formufit.com,123159971033230,https://www.facebook.com/formufit/,12054
183,ILY COUTURE,Shopping & Retail,[info@ilycouture.com],ilycouture.com,203258473078929,https://www.facebook.com/ILYCOUTURE/,27776
184,My First Blush,Shopping & Retail,[help@myfirstblush.com],https://www.myfirstblush.com,386180714907930,https://www.facebook.com/myfirstblush/,74
185,Bodeaz,Health & Wellness Website,[contact@dealeaz.com],https://bodeaz.com,831982870254263,https://www.facebook.com/BodeazFitness/,718286
186,Miss Hamptons,Company,[contact@misshamptons.com],http://misshamptons.com,132429393613083,https://www.facebook.com/MissHamptons/,772846
187,Worldwide Cyclery,Bicycle Shop,[info@worldwidecyclery.com],http://WorldwideCyclery.com,174577579327587,https://www.facebook.com/worldwidecyclery/,11813
188,Clean Themes Studio,Web Designer,[info@cleanthemes.net],http://www.cleanthemes.net,1460177770977127,https://www.facebook.com/cleanthemes/,24
189,Animography,Product/Service,,www.animography.net,361532297222534,https://www.facebook.com/animography/,13144
190,Unique Gifts Store,Website,,https://uniquegiftsstore.net/,176947586035021,https://www.facebook.com/uniquegiftsstore/,14
191,Trub,Artist,,https://m.facebook.com/TrubRain/?tsid=0.2690340759029183&source=typeahead,255186831251484,https://www.facebook.com/TrubRain/,271
192,Laybag,Bags/Luggage,,http://www.productmargje.com,312902322210761,https://www.facebook.com/laybag/,561
193,Ann's Fabulous Finds,Retail Company,,"http://annsfabulousfinds.com
http://www.annsfabulouscloseouts.com/
http://shop.ebay.com/annsfabfinds/m.html
",157333608552,https://www.facebook.com/annsfabulousfinds/,4520
194,Time Timer - Make Every Moment Count,Office Supplies,[support@timetimer.com],timetimer.com,104719279581463,https://www.facebook.com/TimeTimer/,3624
195,Blazed Wear,Clothing (Brand),[sales@blazedwear.com],https://blazedwear.com,1626984260925549,https://www.facebook.com/blazedwear/,754
196,GC eyewear,Product/Service,[service@gceyewear.com],https://gceyewear.com/,638339442926232,https://www.facebook.com/GCeyewear/,41418
197,Aquarium Co-Op,Pet Supplies,[store@aquariumcoop.com],http://www.aquariumcoop.com,1377318855824485,https://www.facebook.com/AquariumCoOp/,21181
198,KL Polish,Health/Beauty,,http://www.klpolish.com,588620304678506,https://www.facebook.com/klpolish/,31555
199,Xpand Lacing System,Clothing (Brand),,https://www.xpandlaces.com,1510237439297033,https://www.facebook.com/Xpandlaces/,28829
200,Yellow Leaf Hammocks,Shopping & Retail,[hello@yellowleafhammocks.com],http://www.yellowleafhammocks.com,135416649803961,https://www.facebook.com/yellowleafhammocks/,5335
201,The Social Life,Clothing (Brand),[info@thesociallife.com],http://thesociallife.com/,337312732958095,https://www.facebook.com/TheSocialLife/,21428
202,Wool&Prince,Clothing (Brand),,http://woolandprince.com,248649575266794,https://www.facebook.com/WOOLandPRINCE/,5360
203,Spoke Art,Art Gallery,[info@spoke-art.com],http://www.spoke-art.com,135907266453996,https://www.facebook.com/spokeart/,190657
204,CORKCICLE,Product/Service,,www.corkcicle.com,140527019358724,https://www.facebook.com/Corkcicle/,254130
205,Juguetron,Games/Toys,,http://www.juguetron.mx,103452316355014,https://www.facebook.com/Juguetron/,417410
206,Olivers Apparel,Clothing (Brand),[contact@oliversapparel.com],http://www.oliversapparel.com,511090498956699,https://www.facebook.com/OliversApparel/,12476
207,Olaplex,Health/Beauty,[info@olaplex.com],http://olaplex.com,347578558683494,https://www.facebook.com/olaplex/,764938
208,Premier Yarns,Company,[info@premieryarns.com],http://www.premieryarns.com,202696386498421,https://www.facebook.com/PremierYarns/,14799
