Sr No,Store Name,Store Category,Emails,Store Website,Page id,Page link,Subscribers
18,Bombshell Sportswear,Clothing (Brand),[customerservice@bombshellsportswear.com],http://www.bombshellsportswear.com,561493610550062,https://www.facebook.com/BombshellSportswear/,146449
19,ThirdLove,Clothing (Brand),[hello@thirdlove.com],https://www.thirdlove.com,121559064656225,https://www.facebook.com/thirdlove/,328162
20,Shop Miss A,Health/Beauty,[cs@shopmissa.com],http://www.ShopMissA.com,513599165364566,https://www.facebook.com/ShopMissA/,116107
21,Kylie shop,Health/Beauty,,,1198113603566753,https://www.facebook.com/kyliejennershop/,62
22,The Pi Hut,Retail Company,[contact@thepihut.com],http://www.thepihut.com,349319278486307,https://www.facebook.com/The.Pi.Hut/,12306
23,Lotus Leggings,Clothing (Brand),,http://lotusleggings.com/,665422903584722,https://www.facebook.com/lotusleggings/,1578340
24,Daily Steals,Retail Company,[support@dailysteals.com],https://dailysteals.com/,44158456172,https://www.facebook.com/dailysteals/,155309
25,Roman Atwood,Artist,[romanatwood@gmail.com],www.youtube.com/RomanAtwood,378504938842385,https://www.facebook.com/RomanAtwood/,1560785
26,Dude Gadgets,Website,,http://dudegadgets.com,1026487637426063,https://www.facebook.com/dudegadgets/,334641
27,ForeverSpin,Games/Toys,,http://www.foreverspin.com,743290759079788,https://www.facebook.com/Foreverspin/,10211
28,Urban Dictionary,Entertainment Website,,http://www.urbandictionary.com,6295613171,https://www.facebook.com/urbandictionary/,4799866
29,Soko Glam,Cosmetics Store,[hello@sokoglam.com],www.sokoglam.com,356397697772593,https://www.facebook.com/SokoGlam/,78934
30,Conservative Outfitters,Clothing (Brand),,http://www.ConservativeOutfitters.com,239170452890244,https://www.facebook.com/ConservativeOutfitters/,17637
31,Focallure Beauty,Health/Beauty,[support@shopfocallure.com],www.shopfocallure.com,1740765616242479,https://www.facebook.com/shopfocallure/,159092
32,mahabis,Website,,https://bit.ly/2qZ7FB0,397476030365796,https://www.facebook.com/mahabis/,594945
33,TeeTurtle,Clothing (Brand),,https://www.teeturtle.com/,306861502698288,https://www.facebook.com/teeturtle/,929841
34,Buykud,Clothing (Brand),[service@buykud.com],https://www.buykud.com,1675901879321805,https://www.facebook.com/buykud/,628237
35,THINX,E-commerce Website,[hello@shethinx.com],http://www.shethinx.com,425928680820998,https://www.facebook.com/SheTHINX/,278630
36,Teknostore,Website,[info@teknostore.com],http://www.teknostore.com,623009067868108,https://www.facebook.com/teknostore/,38216
37,Notre Shop,Men's Clothing Store,[info@notre-shop.com],http://www.notreshop.com,719391628136507,https://www.facebook.com/notreshop/,8040
38,Pura Vida Bracelets,Clothing Store,[info@puravidabracelets.com],http://www.puravidabracelets.com/,138876992797995,https://www.facebook.com/puravidabracelets/,1386160
39,Bodega,Clothing Store,[info@bdgastore.com],bdgastore.com,107572642619343,https://www.facebook.com/bdgastore/,34411
40,Headphone Zone,Audio Visual Equipment Store,[direct@headphonezone.in],http://www.headphonezone.in,151162144922407,https://www.facebook.com/HeadphoneZone/,57005
41,Brooklinen,Home Decor,,http://www.brooklinen.com,588785404473852,https://www.facebook.com/Brooklinen/,248419
42,RIPT Apparel,Clothing (Brand),,http://www.riptapparel.com/,67259481703,https://www.facebook.com/riptapparel/,404244
43,RageOn,Product/Service,[info@rageon.com],http://www.RageOn.com,327779823922600,https://www.facebook.com/rageon/,1049368
44,Represent Clothing,Clothing (Brand),,http://www.represhop.eu/ http://www.represent.eu/,78113004000,https://www.facebook.com/RepresentClothing/,15140
45,Zoo Fashions,Men's Clothing Store,[info@zoofashions.com],www.zoofashions.com,133151966704872,https://www.facebook.com/ZOOfashions/,1458
46,Dollar Bender,E-commerce Website,,https://www.MagneticCablesStore.com,747240992089955,https://www.facebook.com/dollarbender/,1016
47,Dope,Clothing (Brand),[info@dope.com],http://www.Dope.com,27285246015,https://www.facebook.com/dope/,667244
48,The Music Zoo,Musical Instrument Store,[sales@themusiczoo.com],http://www.themusiczoo.com,197161138033,https://www.facebook.com/TheMusicZoo/,77997
49,LCM Malaysia,Commercial Equipment,,http://www.lcm.com.my,498517520275254,https://www.facebook.com/myshopify/,262
50,Culture Kings,Clothing (Brand),[orders@culturekings.com.au],www.culturekings.com.au,249533444254,https://www.facebook.com/culturekings/,588229
51,Pockindo,Bags/Luggage,,http://www.tixy.com,1197767856943553,https://www.facebook.com/pockindo/,41982
52,Cellrizon,Company,,http://cellrizon.com/,327322167453037,https://www.facebook.com/cellrizon/,258158
53,SlideBelts,Retail Company,[support@slidebelts.com],https://www.slidebelts.com,209230932487849,https://www.facebook.com/SlideBelts/,40625
54,Only NY,Clothing (Brand),,http://www.onlyny.com,62512922947,https://www.facebook.com/onlyny/,94765
55,Mondo,Art Gallery,,www.mondotees.com www.mondoarchive.com www.twitter.com/mondonews,47854467238,https://www.facebook.com/mondotees/,122914
56,Ticwear,Computer Company,,https://twitter.com/TicWear,752377234851174,https://www.facebook.com/ticwear/,169
57,Sivana,Fashion Designer,[info@sivanaspirit.com],www.sivanaspirit.com,143681145706328,https://www.facebook.com/sivanaspirit/,344568
58,Turntable Lab,Music Production Studio,[customerservice@turntablelab.com],https://www.TurntableLab.com,12372193226,https://www.facebook.com/turntablelab/,287364
59,Survival Frog,Retail Company,,https://SurvivalFrog.com,1854365618035754,https://www.facebook.com/SurvivalFrog/,105472
60,Natural Baby Shower,Shopping & Retail,[hello@naturalbabyshower.co.uk],https://www.naturalbabyshower.co.uk,222813107743464,https://www.facebook.com/naturalbabyshower/,18875
61,Juvia's Place,Health/Beauty,,http://www.juviasplace.com,229923820722279,https://www.facebook.com/juviasplace/,104911
62,inkbox,Product/Service,,www.inkbox.com,1566371506915847,https://www.facebook.com/getinkbox/,182769
63,Xenia Boutique,Shopping & Retail,[customercare@xenia.com.au],http://www.xeniaboutique.com.au,131237750249432,https://www.facebook.com/xeniaboutique/,479867
64,UNTUCKit,Clothing (Brand),[questions@untuckit.com],http://www.untuckit.com,162261143800622,https://www.facebook.com/UNTUCKit/,109118
65,Smoke Cartel Online Headshop,Website,[contact@smokecartel.com],https://www.smokecartel.com,269265160098506,https://www.facebook.com/smokecartel/,4660
66,Export Leftovers,Shopping & Retail,[info@exportleftovers.com],http://www.exportleftovers.com,547095725364417,https://www.facebook.com/exportleftovers/,1138554
67,Boardwalk Buy,Retail Company,,http://www.boardwalkbuy.com,463003060441487,https://www.facebook.com/BoardwalkBuy/,597252
68,Sneaker Politics,Men's Clothing Store,[contact@sneakerpolitics.com],http://www.sneakerpolitics.com,572111736183370,https://www.facebook.com/sneakerpolitics/,15598
69,Secret Wood,Fashion Designer,[askus@mysecretwood.com],http://www.mysecretwood.com,424583701074819,https://www.facebook.com/mysecretwood/,778799
70,Электронные парогенераторы в г. Орша,Shopping & Retail,,http://e-cig-city.by,707783432672888,https://www.facebook.com/ecigcity/,17
71,Dr. Dabber,Electronics,,https://www.drdabber.com,1409383132606545,https://www.facebook.com/drdabber/,62730
72,Grunt Style,Clothing (Brand),[customerservice@gruntstyle.com],http://www.gruntstyle.com,131303296897437,https://www.facebook.com/gruntstyle/,2277900
73,Gonoise,Product/Service,[support@nexxbase.com],http://www.gonoise.com,1511495619138631,https://www.facebook.com/gonoise/,588982
74,Lovepop Cards,Art,[hello@lovepopcards.com],Lovepop.com,804695086214693,https://www.facebook.com/lovepopcards/,133138
75,ChicNico,Clothing (Brand),,http://chicnico.com,848965858541392,https://www.facebook.com/chicnico/,3316
76,DankStop.com,Product/Service,[support@dankstop.com],https://dankstop.com,825825530767972,https://www.facebook.com/Dankstop/,12166
77,Negative Outlook,Musician/Band,[powdercityhc@gmail.com],http://www.powdercity.bandcamp.com,442389135894729,https://www.facebook.com/powdercity/,163
78,Black Milk Clothing,Clothing (Brand),[hello@blackmilkclothing.com],http://www.blackmilkclothing.com,129617417057349,https://www.facebook.com/blackmilkclothing/,740984
79,Status Anxiety.,Fashion Designer,[contact@statusanxiety.com.au],www.statusanxiety.com.au,108647589232333,https://www.facebook.com/StatusAnxiety/,59536
80,Nova Stuff,Musician/Band,,http://soundcloud.com/novastuff http://www.youtube.com/user/NovastuffMusic https://new.myspace.com/novastuff.music http://novastuff.bandcamp.com/ https://twitter.com/NovaStuff,601169999900511,https://www.facebook.com/NovaStuff/,46
81,Qualtry,Retail Company,[support@qualtry.com],http://qualtry.com/,1017209365019978,https://www.facebook.com/qualtry/,2562
82,Outdoor Voices,Brand,[hello@outdoorvoices.com],http://www.outdoorvoices.com,312443138843803,https://www.facebook.com/OutdoorVoices/,72266
83,Mansur Gavriel,Jewelry & Watches Store,[contact@mansurgavriel.com],http://www.mansurgavriel.com,406216472795151,https://www.facebook.com/mansurgavriel/,52825
84,The Rolling Indian,Community,,http://therollingindian.com,1219490448126445,https://www.facebook.com/TheRollingIndian/,113450
85,Killstar,Clothing (Brand),,www.KILLSTAR.com,151085631666418,https://www.facebook.com/killstar/,586514
86,Death Wish Coffee Company,Shopping & Retail,[deathwishcoffeecompany@gmail.com],http://www.deathwishcoffee.com,159943490729618,https://www.facebook.com/deathwishcoffee/,398306
87,GetiParts,Retail Company,[support@getiparts.com],www.getiparts.com,1606648072969798,https://www.facebook.com/GetiParts/,6802
88,The Chivery,Clothing (Brand),[support@thechivery.com],http://l.thechivery.com/ESjhzN,199433493405658,https://www.facebook.com/TheChivery/,250407
89,Peach and Lily,Health/Beauty,[hello@peachandlily.com],www.peachandlily.com,289300231184294,https://www.facebook.com/PeachAndLily/,49795
90,Hak,Clothing (Brand),[ling@hak.com.hk],,646662192035656,https://www.facebook.com/hak.shop/,431
91,BOOM by Cindy Joseph,Health/Beauty,[info@boombycindyjoseph.com],www.BoombyCindyJoseph.com,147226035288876,https://www.facebook.com/boombycindyjoseph/,303435
92,Body Candy Handcrafted Jewelry,Jewelry/Watches,,http://www.facebook.com/pages/Waist-Beads/345520112131378?sk=app_135607783795,345520112131378,https://www.facebook.com/bodycandy/,89
93,Family Fervor,Website,[support@familyfervor.com],http://familyfervor.com,1718767205052503,https://www.facebook.com/familyfervor/,239032
94,Wildflower Cases,Product/Service,,https://www.wildflowercases.com,215599945220481,https://www.facebook.com/WildflowerCases/,11515
95,Soaestheticshop,Company,,http://www.soaestheticshop.com,602195709953775,https://www.facebook.com/soaestheticshop/,33142
96,Love Your Melon,Clothing (Brand),,www.loveyourmelon.com,448595925190480,https://www.facebook.com/LoveYourMelon/,883394
97,Blink,Electronics,,http://www.blinkforhome.com,1489718927912387,https://www.facebook.com/blinkforhome/,74103
98,Thursday Boot Company,Clothing (Brand),,http://thursdayboots.com,249533715240484,https://www.facebook.com/ThursdayBoots/,105320
99,QALO,Retail Company,[support@qalo.com],http://qalo.com/,106906666148614,https://www.facebook.com/Qalo/,678585
100,JOLYN,Retail Company,[contact@jolynclothing.com],http://www.jolynclothing.com,254929616901,https://www.facebook.com/jolynclothing/,31026
101,Gul Ahmed Shop,Community,,http://www.GulAhmedstore.com,1415921555307521,https://www.facebook.com/GulAhmedShop/,137
102,Huel,Food & Beverage Company,[team@huel.com],http://www.huel.com,282592881929497,https://www.facebook.com/Huel/,78737
103,Spell Designs,Clothing (Brand),[enquiries@spelldesigns.com],http://spelldesigns.com/,104887259578642,https://www.facebook.com/spelldesigns/,243679
104,MMAWarehouse.com,Retail Company,,http://www.mmawarehouse.com,7064870953,https://www.facebook.com/mmawarehouse/,99510
105,deramores.com,Website,[customer.service@deramores.com],https://www.deramores.com/,196627368346,https://www.facebook.com/deramores/,98207
106,teelaunch,Clothing (Brand),,https://teelaunch.com,142881515846731,https://www.facebook.com/teelaunch/,13283
107,Frontline Videos Inc,Company,,,1495921570648707,https://www.facebook.com/frontlinevideos/,158
108,Case-Mate,Product/Service,[support@case-mate.com],https://case-mate.com,34602687914,https://www.facebook.com/casemate/,800108
109,100% Pure,Health/Beauty,[customerservice@puritycosmetics.com],https://www.100percentpure.com,188059098496,https://www.facebook.com/100percentpure/,309155
110,Quay Australia,Sunglasses & Eyewear Store,,http://QuayAustralia.com,54738740700,https://www.facebook.com/quayaustralia/,157186
111,Super King Markets,Specialty Grocery Store,[superking@superkingmarket.com],https://superkingmarkets.com/,108798047937,https://www.facebook.com/SuperKingMarkets/,65036
112,LocoBeauty,Beauty Supply Store,[support@locobeauty.com],https://locobeauty.com,1.52607E+15,https://www.facebook.com/locobeauty/,10618
113,Shop Zerouv,Jewelry/Watches,,http://www.shopzerouv.com,109491472725504,https://www.facebook.com/shopzerouv/,68
114,Henge Docks,Product/Service,,www.HengeDocks.com,119990791348773,https://www.facebook.com/HengeDocks/,65850
115,Alphalete,Clothing (Brand),,http://www.alphaleteathletics.com,371812486318802,https://www.facebook.com/alphaleteathletics/,48508
116,Parachute Home,Shopping & Retail,,https://www.parachutehome.com/?utm_source=facebook&utm_medium=social%20&utm_campaign=bio,193957350746563,https://www.facebook.com/ParachuteHome/,192888
117,The Critical Slide Society,Company,,www.thecriticalslidesociety.com,171402725202,https://www.facebook.com/thecriticalslidesociety/,15684
118,Flare Audio,Company,[info@flareaudio.com],http://www.flareaudio.com,211578645547026,https://www.facebook.com/flareaudio/,1183940
119,Glow Recipe,Health/Beauty,[love@glowrecipe.com],http://www.glowrecipe.com,312391605595029,https://www.facebook.com/glowrecipe/,21797
120,PosterGully.com,Shopping & Retail,[help@postergully.com],www.postergully.com,357011677667793,https://www.facebook.com/PosterGully/,140878
121,Chicago Music Exchange,Musical Instrument Store,[info@chicagomusicexchange.com],http://www.chicagomusicexchange.com,147410738617016,https://www.facebook.com/ChicagoMusicExchange/,202201
122,Studio Girls,Company,[studiogirlsbarranquilla@hotmail.com],http://studiogirls.com.co,106131392766180,https://www.facebook.com/StudioGirls/,3493
123,18montrose,Clothing Store,[info@18montrose.com],http://18montrose.com,736265093137413,https://www.facebook.com/18montrose/,2872
124,OBEY Clothing,Clothing (Brand),[info@obeyclothing.com],www.obeyclothing.com,95517791376,https://www.facebook.com/obeyclothing/,1511951
125,ALL the WORLD,Just For Fun,,,968843366518287,https://www.facebook.com/bestself/,711
126,Boll & Branch,E-commerce Website,[help@bollandbranch.com],https://www.bollandbranch.com,354593521329931,https://www.facebook.com/BollandBranch/,118387
127,DipYourCar.com,Automotive Customization Shop,[customerservice@dipyourcar.com],http://www.dipyourcar.com,198057786931986,https://www.facebook.com/DipYourCar/,674784
128,Diamond Supply Co,Company,,http://www.diamondsupplyco.com,50370501210,https://www.facebook.com/diamondsupplyco/,1681334
129,Urban Armor Gear,Phone/Tablet,,http://www.urbanarmorgear.com,346089502089728,https://www.facebook.com/UrbanArmorGear/,326018
130,Bluemercury,Cosmetics Store,[social@bluemercury.com],http://www.bluemercury.com/,66614866711,https://www.facebook.com/bluemercury/,120254
131,State of Escape,Bags/Luggage,,http://www.stateofescape.com,270348943134562,https://www.facebook.com/stateofescape/,3623
132,Topo Designs,Outdoor Equipment Store,[info@topodesigns.com],http://topodesigns.com/,106060412758326,https://www.facebook.com/TopoDesigns/,33205
133,TannerFox,Clothing (Brand),,https://www.tfoxbrand.com/,621666311350861,https://www.facebook.com/tFoxbrand/,563
134,Teradek,Electronics,[info@teradek.com],www.teradek.com,195194858570,https://www.facebook.com/Teradek/,14827
135,Luca + Grae,Clothing (Brand),,https://lucaandgrae.com/,1808490572722669,https://www.facebook.com/lucaandgrae/,1931
136,Pop Chart Lab,Home Decor,,www.popchartlab.com www.twitter.com/popchartlab,147762278580532,https://www.facebook.com/popchartlab/,89855
137,Team EnVyUs,Sports Team,,www.teamenvyus.com,310096466701,https://www.facebook.com/TeamEnVyUs/,58636
138,theBalm,Cosmetics Store,[info@thebalm.com],www.thebalm.com,58936684679,https://www.facebook.com/theBalm/,296174
139,The Fidget Cube Store,Company,,thefidgetcubestore.com,1.87261E+15,https://www.facebook.com/thefidgetcube/,46
140,INTO THE AM,Clothing (Brand),[support@intotheam.com],http://www.intotheam.com,244739001508,https://www.facebook.com/INTOTHEAM/,263050
141,Mura Boutique,Women's Clothing Store,,,248870808571272,https://www.facebook.com/MuraBoutique/,2923
142,Kanger-online.com,Website,,http://www.kanger-online.com,1473758266194017,https://www.facebook.com/kangeronline/,21
143,TOM BIHN,Shopping & Retail,[feedback@tombihn.com],http://www.tombihn.com,55838757297,https://www.facebook.com/TOMBIHN/,12162
144,Waistshaperz.com,Clothing (Brand),,http://www.WaistShaperZ.com,984991364897672,https://www.facebook.com/WaistShaperz/,245644
145,Phone Endoscope,Phone/Tablet,,https://usbendoscopecamera.com,1728036907488138,https://www.facebook.com/phoneendoscope/,83
146,Slick Case,Phone/Tablet,[support@vectoring.com.hk],http://slickcaseofficial.com,634399383330348,https://www.facebook.com/slickcase.official/,504916
147,Rhino Shield,Electronics,,http://www.rhinoshield.pt,571166426289767,https://www.facebook.com/rhinoshield/,260
148,GOATcase,Mobile Phone Shop,[hello@goatcase.com],http://www.GOATcase.com,1135969783131298,https://www.facebook.com/GOATcase/,10901
149,2Modern,Home Decor,,http://www.2modern.com,10245586555,https://www.facebook.com/2Modern/,75561
150,Necessary Clothing,Clothing (Brand),[customerservice@necessaryclothing.com],http://www.necessaryclothing.com/,131445681681,https://www.facebook.com/NecessaryClothing/,80435
151,Rhino Shield,Electronics,,http://www.rhinoshield.pt,571166426289767,https://www.facebook.com/rhinoshield/,260
152,NoBull Project,Nonprofit Organization,[info@nobullproject.org],http://www.nobullproject.org http://www.twitter.com/nobullproject,384259878262645,https://www.facebook.com/nobullproject/,714
153,Afloral.com,Retail Company,[customerservice@afloral.com],https://www.afloral.com,113547165337831,https://www.facebook.com/afloral/,21139
154,Zippo,Business Service,[consumerrelations@zippo.com],http://www.zippo.com,220281585028,https://www.facebook.com/Zippo/,1645564
155,Hubble,Product/Service,[help@hubblecontacts.com],http://HubbleContacts.com,1130834026929567,https://www.facebook.com/HubbleContacts/,206459
156,SprezzaBox,Shopping Service,[support@sprezzabox.com],http://www.sprezzabox.com,249346985233155,https://www.facebook.com/sprezzabox/,121346
157,Vodrich,Company,[info@vodrich.com],http://www.vodrich.com,1425567721018683,https://www.facebook.com/VODRICH/,307471
158,Daft Punk,Musician/Band,,http://www.daftpunk.com/ http://www.daft-musique.com/ http://www.myspace.com/daftpunk http://www.youtube.com/daftpunkalive,22476490672,https://www.facebook.com/daftpunk/,13389097
159,Namibia Marketing Agency,Marketing Agency,[pro_investments@yahoo.com],,935454376559662,https://www.facebook.com/greats/,158
160,Casa do Código,Education,[contato@casadocodigo.com.br],http://www.casadocodigo.com.br/,339585966118023,https://www.facebook.com/CasaDoCodigo/,89021
161,Crazy Aaron's Puttyworld,Games/Toys,[customercare@puttyworld.com],www.Puttyworld.com/,109845447109,https://www.facebook.com/puttyworld/,11895
162,Next Deal Shop,Retail Company,[info@nextdealshop.com],http://www.nextdealshop.com,156648981355058,https://www.facebook.com/NextDealShop/,940853
163,Luxy Hair,Product/Service,[info@luxyhair.com],http://www.luxyhair.com,103454679707222,https://www.facebook.com/LuxyHair/,319391
164,"80sTees.com, Inc.",Clothing Store,[help@80stees.com],http://www.80stees.com,20522976968,https://www.facebook.com/80sTees/,561270
165,UniqFind,Retail Company,[info@uniqfind.com],http://www.uniqfind.com,677084199046998,https://www.facebook.com/uniqfind/,25739
166,Vitaly,Apparel & Clothing,,www.vitalydesign.com,158986170792575,https://www.facebook.com/vitalydesign/,145501
167,FasciaBlaster Blastercise San Diego,Health/Beauty,[tr@tamararenee.com],http://www.tamarareneeglobal.com,701346836568438,https://www.facebook.com/fasciablaster/,659
168,Rocketbook,Internet Company,[support@getrocketbook.com],Getrocketbook.com,608884202539505,https://www.facebook.com/GetRocketbook/,12522
169,TheManCompany,Health/Beauty,"[care@themancompany.com, marketing@themancompany.com]",https://www.themancompany.com,631488936979872,https://www.facebook.com/Themancompany/,455668
170,Pluto Trigger,Camera/Photo,[info@plutotrigger.com],http://plutotrigger.com,164330133954411,https://www.facebook.com/plutotrigger/,18214
171,FCPXFree,Community,,http://www.fcpxfree.com,197964183887107,https://www.facebook.com/fcpxfree/,7929
172,Pop Your Pup,Clothing (Brand),[contact@popyourpup.com],http://www.popyourpup.com,251285645056488,https://www.facebook.com/popyourpup/,87232
173,Angelusdirect.com,Website,[info@angelusdirect.com],http://www.angelusdirect.com http://www.twitter.com/angelusdirect http://www.instagram.com/angelusdirect,540497839353866,https://www.facebook.com/AngelusDirect/,75795
174,My Choice Software,Software Company,[info@mychoicesoftware.com],http://MyChoiceSoftware.com/,157276547697725,https://www.facebook.com/mychoicesoftware/,13841
175,Tortuga,Retail Company,[contact@tortugabackpacks.com],http://www.tortugabackpacks.com,193421370621,https://www.facebook.com/tortugabackpacks/,6881
176,MSFTSrep,Clothing (Brand),,http://msftsrep.com,1017788818328681,https://www.facebook.com/MSFTSREP/,22789
177,Limited Run Games,Retail Company,[douglas@limitedrungames.com],http://www.limitedrungames.com,962233300503681,https://www.facebook.com/LimitedRunGames/,20809
178,Babay solitaire,Artist,[mad_wade@hotmail.fr],http://www.twitter.com/black.fire,197448803713702,https://www.facebook.com/underground.hiphop/,606
179,So Shape,Health/Beauty,[hello@soshape.com],http://soshape.com,449310211823957,https://www.facebook.com/Soshape/,123602
180,Sugarbearhair,Health/Beauty,[hello@sugarbearhair.com],http://sugarbearhair.com,461941174006403,https://www.facebook.com/SugarBearHair/,1098840
181,SOURCEvapes,Electronics,,http://www.SOURCEvapes.com,179037045611068,https://www.facebook.com/SOURCEvapes/,15005
182,Deny Designs,Home Decor,[support@denydesigns.com],denydesigns.com,190991270939391,https://www.facebook.com/DenyDesigns/,56701
183,oipolloi.com,Men's Clothing Store,[mailorder@oipolloi.com],https://www.oipolloi.com/,22817794113,https://www.facebook.com/oipolloi/,45611
184,Bellami Hair,Health/Beauty,[info@bellamihair.com],www.bellamihair.com,291629670901793,https://www.facebook.com/bellamihair/,144555
185,Korean Store,Clothing (Brand),,,144230832669696,https://www.facebook.com/mykoreanstore/,67
186,Vapor Authority,Retail Company,[management@vaporauthority.com],https://www.VaporAuthority.com,175860635903912,https://www.facebook.com/VaporAuthority/,8951
187,Buy Me Brunch,Clothing (Brand),[support@buymebrunch.com],http://l.buymebrunch.com/i8pKW4,377132562369010,https://www.facebook.com/buymebrunch/,152659
188,Lila Nikole Collection,Clothing (Brand),,www.LilaNikole.com,169627146419602,https://www.facebook.com/LilaNikole/,4494
189,Lightroom Presets,Camera/Photo,,,363314320360031,https://www.facebook.com/LightroomPresets/,3862
190,www.ClassicShaving.com,Tools/Equipment,,www.ClassicShaving.com,137116847515,https://www.facebook.com/ClassicShaving/,31069
191,Shinesty,Clothing (Brand),,http://www.shinesty.com,168735513291523,https://www.facebook.com/Shinesty/,278942
192,Burlap Apparel,Clothing (Brand),[info@shopburlap.co],http://shopburlap.co,147924942390980,https://www.facebook.com/shopburlap/,1355065
193,TryFollowers,Professional Service,,https://www.tryfollowers.com,567299283408023,https://www.facebook.com/TryFollowers/,1079
194,Rise:45 | WEST Rooftop Patio every Sunday,Dance & Night Club,[mlaforet@westrestaurantandbar.com],http://www.westrestaurantandbar.com/rooms/rooftop-patio/,242012669157641,https://www.facebook.com/RISE45/,183
195,HICKIES,Product/Service,,www.hickies.com,274163499313589,https://www.facebook.com/HICKIES/,353768
196,Arda Wigs,Wig Store,[orders@arda-wigs.com],http://arda-wigs.com/,109598419071457,https://www.facebook.com/ArdaWigs/,158641
197,Skin18 - Nature Beauty Skin Care,Skin Care Service,[info@skin18.com],http://www.skin18.com,473699592785190,https://www.facebook.com/skin18/,25930
198,Diesel Trucks For Sale,Website,[info@dieselsellerz.com],http://www.dieselsellerz.com,476759112358478,https://www.facebook.com/DieselSellerz/,2729562
199,OFRA Cosmetics Laboratories,Health/Beauty,[support@ofracosmetics.com],"http://www.ofracosmetics.com , twitter.com/ofracosmetics , http://instagram.com/ofracosmetics , http://www.youtube.com/user/ofracosmetics",149004249771,https://www.facebook.com/ofracosmetics/,430121
200,Aceroix,Home Decor,[contact@aceroix.com],https://aceroix.com,1150999564958687,https://www.facebook.com/ACEROIX/,3733
201,Maker Shed,Electronics,,http://makershed.com,132896086743753,https://www.facebook.com/MakerShed/,14637
202,NIALAYA JEWELRY,Jewelry & Watches Store,[customerservice@nialaya.com],http://www.nialaya.com,126197000730223,https://www.facebook.com/NIALAYA/,121522
203,I love India,Community,,,277930865575016,https://www.facebook.com/BonOrganik/,63
204,Lord Timepieces,Jewelry/Watches,[hello@lordtimepieces.com],https://lordwatch.co/shoplord,1587128114843179,https://www.facebook.com/LordTimepieces/,135990
205,Serpent Urban Clothing,Apparel Distributor,,http://serpenturbanclothing.com,477026095818968,https://www.facebook.com/serpenturbanclothing/,223840
206,Suchprice 優價網,E-commerce Website,[cs@suchprice.hk],https://suchprice.hk,1594549894122146,https://www.facebook.com/suchprice/,45123
207,Popmarket,Local Business,,,133325575850,https://www.facebook.com/popmarket/,17
208,What do you meme,Comedian,,,1033147126735587,https://www.facebook.com/Whatdoyoumeme/,188
209,DoozyDeal,Shopping Service,,,1740025976224353,https://www.facebook.com/doozydeal/,384
210,Kidrobot,Retail Company,[customerservice@kidrobot.com],https://www.kidrobot.com,36501437548,https://www.facebook.com/kidrobot/,163128
211,Crane & Canopy,Home Decor,[customerservice@craneandcanopy.com],www.craneandcanopy.com,196723103738035,https://www.facebook.com/craneandcanopy/,312545
212,Coastal Scents,Cosmetics Store,,http://www.coastalscents.com,189044110779,https://www.facebook.com/CoastalScents/,484062
